Username (Account ID),State,District,Area,Median No of transactions ,Average No of transactions ,lowestof trans,Median Amount,Average Amount,lowestof amount,TYPE,Gender,Active,Blocked,Suspended,Unused Balance,NO OF DAYS SINCE LAST DEPOSIT ,NO OF DAYS SINCE device creation,NO OF DAYS SINCE onboarded,Status,Status2
sabimen2587 (014663),Federal Capital Territory,Kubwa,Bwari,0,19,0,0,39429,0,Regular,Male,Yes,No,No,7.5,254,465,465,bad,bad
GloriousCom (005824),Enugu,Enugu South,Uwani,0,23,0,0,57130,0,Regular,Female,No,No,No,-279.13929,208,44095,1071,bad,bad
SABIMEN2540 (014695),Niger,Tafa,Garam,30,53,30,103405,140719,103405,Regular,Male,Yes,No,No,22.695,421,466,466,good,good
SABIMEN1612 (014335),Lagos,Mushin-Main,Mushin,156,173,156,333355,369773,333355,Regular,Male,Yes,No,No,2839.8275,2,476,476,good,bad
Justp2pos (012423),Lagos,Ikeja,Allen,89,92,89,305065,494168,305065,Regular,Female,Yes,No,No,680.37104,2,535,535,good,bad
Peacenorapos (013465),Lagos,IKorodu,Odogunyan,0,21,0,0,85729,0,Regular,Male,Yes,No,No,0.68763,147,496,496,bad,bad
sabimen3402 (016232),Osun,Osogbo,0,91,96,91,275052,282563,275052,Regular,Male,Yes,No,No,4764.41,26,458,458,good,good
SABIMEN513 (011596),Lagos,IKorodu,Ayangbure,95,97,95,393200,538422,393200,Regular,Male,Yes,No,No,15.975,186,539,539,good,good
abodeshelter2app (016943),Ogun,Odogbolu,0,163,199,163,1105200,1791671,1105200,Regular,Male,Yes,No,No,92089.518,3,413,413,good,bad
DISHGALLERY (005188),Anambra,Aguata,Ekwulobia,0,32,0,0,75310,0,Regular,Male,Yes,No,No,2325.32571,209,1160,1160,bad,bad
SABIMEN2559 (014742),Federal Capital Territory,Kubwa,Bwari,108,99,99,274150,262324,262324,Regular,Male,Yes,No,No,6311.805,6,465,465,good,bad
Sabimen3832 (015171),Lagos,Ikeja,Oba Akran,128,189,128,398100,1767998,398100,Regular,Male,Yes,No,No,15954.605,0,438,438,good,bad
Cdfavour (008126),Lagos,Apapa,Orile,62,72,62,273890,291761,273890,Regular,Female,Yes,No,No,529078.1872,4,731,731,good,bad
SABIMEN2349 (014606),Federal Capital Territory,Gwagwalada,Gwagwalada,0,99,0,0,503362,0,Regular,Male,Yes,No,No,4274.275,258,466,466,bad,bad
Sabimen216 (010594),Lagos,Ojo,Alabarago,61,70,61,110200,135774,110200,Regular,Male,Yes,No,No,10000.25,26,544,544,good,good
SABIMEN2014 (013838),Lagos,Ojo,Alaba Int,24,73,24,51860,74360,51860,Regular,Male,Yes,No,No,10038.835,26,77,469,good,good
HibeePOS (012512),Lagos,IKorodu,Igbogbo,157,193,157,914890,1543796,914890,Regular,Male,Yes,No,No,13229.4975,107,500,500,good,good
SABIMEN508 (011585),Lagos,IKorodu,Odogunyan,81,72,72,186550,195854,186550,Regular,Male,Yes,No,No,20000.33004,69,539,539,good,good
sabimen2056 (014322),Lagos,Kosofe,Ketu,100,68,68,222550,174243,174243,Regular,Male,Yes,No,No,10016.5,26,77,469,good,good
Etdaniels1pos (008807),Lagos,Ibeju-Lekki,Lekki,103,390,103,273160,1751208,273160,Regular,Male,No,No,No,-313.85214,227,44095,698,bad,bad
Sunilglobal21 (005384),Plateau,Jos South,0,133,113,113,207700,207713,207700,Regular,Male,No,No,No,-304.13071,101,44095,1144,bad,bad
sabimen2196 (014166),Federal Capital Territory,Kubwa,Bwari,197,211,197,416860,471467,416860,Regular,Female,Yes,No,No,10.456,29,468,468,good,good
MERCHANDISE (007772),Anambra,Nnewi North,Nnewi-Ichi,11,25,11,22430,61106,22430,Regular,Male,Yes,No,No,121.476,126,742,742,bad,bad
sabimen710 (012139),Lagos,Kosofe,Ketu,95,107,95,205215,224280,205215,Regular,Male,Yes,No,No,9905.61,1,537,537,good,bad
SABIMEN58 (010454),Lagos,Alimosho 1,Ipaja,117,105,105,272650,294820,272650,Regular,Male,Yes,No,No,4793.0565,4,543,543,good,bad
afriamgas (021602),Ogun,Abeokuta North,Agbeloba,72,123,72,272490,520876,272490,Regular,Male,Yes,No,No,35263.19,0,258,258,good,bad
Sabimen3518 (014929),Lagos,Alimosho 1,Abule Egba,316,298,298,860326,749054,749054,Regular,Male,Yes,No,No,23542.0825,1,458,458,good,bad
Sabimen3669 (015441),Lagos,IKorodu,Igbogbo,161,151,151,356810,369814,356810,Regular,Female,Yes,No,No,5082.7185,20,438,438,good,good
KennyTruthemene21 (006225),Enugu,Enugu East,Emene,29,44,29,272120,249484,249484,Regular,Male,Yes,No,No,74.66666,26,1040,1040,good,good
Japan1pos (008530),Lagos,Alimosho 1,Egbeda,416,462,416,395550,379079,379079,Regular,Female,Yes,No,No,3315.18,11,630,712,good,good
Hellenumonuapp (009899),Federal Capital Territory,Kubwa,Bwari,136,130,130,211500,208326,208326,Regular,Female,Yes,No,No,8681.608,13,608,608,good,good
Sabimen3594 (015512),Ogun,Ado-Odo/Ota,Sango Ota,303,291,291,866385,856771,856771,Regular,Male,Yes,No,No,94669.875,0,438,438,good,bad
sabimen2651 (014846),Federal Capital Territory,Apo District,Apo Resettlement,73,98,73,296810,523149,296810,Regular,Female,Yes,No,No,1736.83,312,465,465,good,good
SABIMEN1118 (011258),Ogun,Otta,Otta,252,244,244,808580,771239,771239,Regular,Female,Yes,No,No,11554.635,1,536,536,good,bad
SABIMEN469 (011488),Lagos,IKorodu,Owutu,30,78,30,31247,122394,31247,Regular,Male,Yes,No,No,10094.295,26,539,539,good,good
Sabimen160 (011043),Lagos,Ajegunle,Orege,143,146,143,407950,376752,376752,Regular,Male,Yes,No,No,28370.71,2,544,544,good,bad
PAULSONS (008630),Anambra,Onitsha South,Fegge,123,124,123,257550,242472,242472,Regular,Male,Yes,No,No,10451.4,3,704,704,good,bad
BeepatApp (007840),Rivers,Port Harcourt,Town,0,5,0,0,41093,0,Regular,Female,Yes,No,No,47.98,207,740,740,bad,bad
sabimen3152 (015942),Oyo,Ogbomosho,Kuye Road,121,122,121,209825,221302,209825,Regular,Female,Yes,No,No,3666.08,2,459,459,good,bad
Belimarsh30 (005985),Abia,Umuahia South,Abam,7,26,7,39600,137096,39600,Regular,Female,Yes,No,No,-2625.7,125,1063,1063,bad,bad
sabimen3492 (016321),Lagos,Oshodi-Main,Ajao estate,116,114,114,293850,385394,293850,Regular,Female,Yes,No,No,2442.27,6,458,458,good,bad
sabimen900 (011398),Lagos,Oshodi-Main,Alasia,161,164,161,329800,344326,329800,Regular,Male,Yes,No,No,23278.59,1,536,536,good,bad
Sabimen683 (012205),Lagos,Kosofe,Ketu,24,26,24,83150,104347,83150,Regular,Male,Yes,No,No,6014.035,1,538,538,good,bad
FscFintechpos (013033),Nasarawa,Nasarawa,Nasarawa Town,244,300,244,683210,1279944,683210,Regular,Male,Yes,No,No,37967.365,229,490,490,good,good
SUSANAPP (013400),Federal Capital Territory,Kubwa,Bwari,79,71,71,1159790,1369779,1159790,Regular,Male,Yes,No,No,6884.31,3,502,502,good,bad
sabimen2389 (014511),Nasarawa,Karu,Masaka,196,323,196,1070610,1942379,1070610,Regular,Male,Yes,No,No,8283.235,8,466,466,good,good
Sabimen280 (010945),Lagos,Amuwo Odofin,Agboju,119,104,104,269050,244014,244014,Regular,Male,Yes,No,No,476.255,10,542,542,good,good
MofbishPos (011920),Lagos,Alimosho 1,Ile Epo,60,60,60,269000,258733,258733,Regular,Male,Yes,No,No,58.08571,151,530,530,good,good
sabimen1948 (014780),Lagos,Surulere,Aguda,119,135,119,291960,567459,291960,Regular,Female,Yes,No,No,60.96,74,472,472,good,good
maxwaed (010137),Lagos,Mushin-Main,Matori,0,24,0,0,107852,0,Regular,Male,Yes,No,No,100.44214,201,579,579,bad,bad
Giftventuresapp (016666),Lagos,Ikeja,Oregun,99,99,99,268640,252830,252830,Regular,Female,Yes,No,No,26355.8,2,447,447,good,bad
Remglory21 (003567),Delta,Oshimili North,Interbau/Okpanam Road,183,181,181,230700,232544,230700,Regular,Female,Yes,No,No,3971.38,2,1305,1305,good,bad
sabimen3033 (015314),Rivers,Port Harcourt,Trans Amadi,126,122,122,295300,277508,277508,Regular,Female,Yes,No,No,13279.38,2,461,461,good,bad
Comm001 (000308),Lagos,Shomolu,Anthony,103,88,88,164970,151814,151814,Regular,Female,Yes,No,No,235.00385,17,1521,1834,good,good
Sabimen1509 (010704),Ogun,Ado-Odo/Ota,Ijako,171,231,171,487990,2010378,487990,Regular,Male,Yes,No,No,29310.25,20,544,544,good,good
sabimen2209 (014244),Federal Capital Territory,Kubwa,Bwari,3,36,3,650,80107,650,Regular,Female,Yes,No,No,1.75,191,468,468,bad,bad
Synbles (005689),Federal Capital Territory,Wuse Zone,Wuse Zone 1,135,85,85,267250,171364,171364,Regular,Male,Yes,No,No,-3966.062,146,1083,1083,bad,bad
ANITA1980POS (012616),Lagos,IKorodu,Agric,65,353,65,267160,2483361,267160,Regular,Male,Yes,No,No,109480.9141,2,495,495,good,bad
Sabimen281 (010947),Lagos,Apapa,Olodi,38,36,36,122800,122967,122800,Regular,Male,Yes,No,No,10938.45,26,76,542,good,good
sabimen3485 (016314),Lagos,Oshodi-Main,Ajao estate,855,657,657,6121000,5248828,5248828,Regular,Male,Yes,No,No,6466.075,1,458,458,good,bad
Ugwuapp (017207),Enugu,Nsukka,Nsukka,0,18,0,0,57624,0,Regular,Male,Yes,No,No,29784.86,3,400,400,bad,bad
SABIMEN59 (010455),Lagos,Alimosho 1,Isheri,81,96,81,267200,402416,267200,Regular,Male,Yes,No,No,1886.5425,1,543,543,good,bad
SABIMEN1988 (014380),Lagos,Ojo,Alaba Int,125,109,109,213750,218964,213750,Regular,Male,Yes,No,No,11634.56,0,469,469,good,bad
Apiti (004609),Lagos,Mushin-Main,Idi oro,235,222,222,451850,423598,423598,Regular,Female,Yes,No,No,7805.59,6,1229,1229,good,bad
sabimen3150 (015940),Oyo,Ogbomosho,Oke Elerin Road,88,89,88,178485,183518,178485,Regular,Male,Yes,No,No,50.56,2,459,459,good,bad
Lardelventures1 (002091),Lagos,Lagos Island,Obalende,102,98,98,266260,252735,252735,Regular,Male,Yes,No,No,-86.95571,24,1441,1445,bad,bad
Daig (005910),Rivers,Eleme,Agbeta,113,120,113,277150,313170,277150,Regular,Female,Yes,No,No,57776.40243,2,958,1069,good,bad
SABIMEN2455 (014566),Federal Capital Territory,Gwagwalada,Gwagwalada,155,174,155,294800,310839,294800,Regular,Female,Yes,No,No,3921.775,2,466,466,good,bad
SABIMEN2764 (015228),Oyo,Ibadan South West,Elebu,142,136,136,320242,328687,320242,Regular,Male,Yes,No,No,11008.532,2,462,462,good,bad
Wilstan2 (005805),Enugu,Enugu South,Uwani,151,142,142,243600,231558,231558,Regular,Male,Yes,No,No,10070.1185,2,1074,1074,good,bad
Bridjoo (004346),Lagos,Mushin-Main,Mushin,24,23,23,112100,150563,112100,Regular,Female,Yes,No,No,1482.60294,10,1258,1258,good,good
Iblatstorepos (019892),Federal Capital Territory,Kubwa,Kubwa FHA,60,66,60,251410,283838,251410,Regular,Male,Yes,No,No,11686.055,3,314,314,good,bad
sabimen3168 (015812),Plateau,Jos South,0,169,175,169,1459240,1086300,1086300,Regular,Female,Yes,No,No,40091.3625,76,459,459,good,good
sabimen1974 (014148),Lagos,Ojo,Alaba Int,41,137,41,265000,1236679,265000,Regular,Female,Yes,No,No,181553.43,26,469,469,good,good
NGZGLOBAL (007441),Delta,Oshimili south,Summit Road/Across,49,55,49,201900,209666,201900,Regular,Male,Yes,No,No,1634.2,9,756,756,good,good
SABIMEN2681 (014809),Nasarawa,Keffi,Tunayi,578,530,530,2483867,4174229,2483867,Regular,Female,Yes,No,No,38439.786,0,465,465,good,bad
sabimen1505 (010660),Lagos,Alimosho 1,Abule Egba,163,159,159,412310,355649,355649,Regular,Male,Yes,No,No,7994.59214,2,544,544,good,bad
SABIMEN441 (010749),Lagos,IKorodu,Agric,159,154,154,371290,354217,354217,Regular,Male,Yes,No,No,6867.59,2,542,542,good,bad
Sabimen3549 (015146),Lagos,Mushin-Main,Mushin,115,130,115,296780,334296,296780,Regular,Male,Yes,No,No,6820.88,32,458,458,good,good
sabimen1924 (014385),Lagos,Surulere,Aguda,97,92,92,263997,330700,263997,Regular,Male,Yes,No,No,175.6975,6,472,472,good,bad
Maigerodigitaltech (003704),Kaduna,Chikun,Narayi,96,88,88,360120,390392,360120,Regular,Male,Yes,No,No,56596.27347,5,1190,1293,good,bad
SABIMEN1274 (011196),Lagos,Oshodi-Main,Oshodi,181,186,181,345500,375535,345500,Regular,Male,Yes,No,No,7763.95,41,531,531,good,good
SABIMEN1153 (011338),Lagos,Sango,Sango,39,39,39,263611,278499,263611,Regular,Male,Yes,No,No,56514.755,3,532,532,good,bad
sabimen2222 (014078),Federal Capital Territory,Kubwa,Bwari,291,492,291,1616791,2679979,1616791,Regular,Female,Yes,No,No,16139.725,1,468,468,good,bad
McDonaldspos (012421),Enugu,Enugu North,Ogui Road,126,126,126,263500,273962,263500,Regular,Male,Yes,No,No,169.64963,2,535,535,good,bad
SABIMEN2520 (014585),Niger,Tafa,New Bwari,141,153,141,355210,389041,355210,Regular,Female,Yes,No,No,9987.865,17,466,466,good,good
Sabimen3535 (014978),Lagos,Lagos Island,Victoria Island,115,117,115,263350,228060,228060,Regular,Male,Yes,No,No,0.496,40,458,458,good,good
Fundviser (004361),Rivers,Eleme,Ejama,42,75,42,544667,1022641,544667,Regular,Male,Yes,No,No,-1991.2135,270,1258,1258,bad,bad
SABIMEN1188 (011426),Lagos,Surulere,Itire,115,107,107,239750,229979,229979,Regular,Male,Yes,No,No,10811.305,7,535,535,good,good
quduselectpos (012483),Lagos,Oshodi-Main,Ajao estate,467,392,392,1991878,1680532,1680532,Regular,Male,Yes,No,No,90036.79,5,531,531,good,bad
Raymore (003690),Enugu,Enugu East,Abakpa,112,116,112,262950,280870,262950,Regular,Female,Yes,No,No,725.775,0,1298,1298,good,bad
Sabimen3830 (015166),Lagos,Lagos Island,Victoria Island,204,218,204,262900,284514,262900,Regular,Male,Yes,No,No,11713.46002,2,437,437,good,bad
Abesampos (016730),Lagos,Oshodi-Main,Isolo,169,173,169,296000,280871,280871,Regular,Male,Yes,No,No,37059.355,0,439,439,good,bad
SABIMEN53 (010446),Lagos,Agege,Dopemu,92,81,81,239533,174528,174528,Regular,Male,Yes,No,No,10043.17857,26,543,543,good,good
Sabimen189 (011550),Lagos,Surulere,Iganmu,120,130,120,272630,294952,272630,Regular,Male,Yes,No,No,1588.69,9,543,543,good,good
Badupeventures1 (018889),Federal Capital Territory,Kubwa,Bwari,144,160,144,369895,485577,369895,Regular,Female,Yes,No,No,-137.145,27,341,341,bad,bad
sabimen3977 (016588),Lagos,Oshodi-Main,Ajao estate,118,129,118,354550,399037,354550,Regular,Male,Yes,No,No,11944.655,306,437,437,good,good
Chinojetbpos (013653),Lagos,Oshodi-Main,Okota,489,425,425,2875440,2150254,2150254,Regular,Female,Yes,No,No,476.53457,0,493,493,good,bad
sabimen738 (012217),Lagos,Kosofe,Kosofe,81,80,80,299460,451498,299460,Regular,Male,Yes,No,No,191.46,334,538,538,good,good
greaterglory (004085),Kaduna,Zaria,Sabon Gari,248,233,233,1499010,1201801,1201801,Regular,Female,Yes,No,No,4263.085,179,1270,1270,good,good
sabimen1978 (014194),Lagos,Ojo,Alaba Int,37,40,37,77300,117864,77300,Regular,Male,Yes,No,No,20328.3,126,469,469,good,good
sabimen832 (010841),Lagos,Mushin-Main,Mushin,96,104,96,316830,367196,316830,Regular,Male,Yes,No,No,8648.66,74,537,537,good,good
SABIMEN2435 (014523),Federal Capital Territory,Kubwa,Bwari,60,60,60,142720,149052,142720,Regular,Male,Yes,No,No,791.22,24,466,466,good,good
DELUXE (002709),Delta,Ndokwa west,Kwale,0,13,0,0,37293,0,Regular,Male,Yes,No,No,-6528.98,237,1397,1397,bad,bad
sabimen773 (012209),Lagos,Oshodi-Main,Ilasamaja,321,359,321,1262392,1181856,1181856,Regular,Male,Yes,No,No,1645.0735,2,537,537,good,bad
SABIMEN2942 (015627),Rivers,Khana,Uegure Boue,26,35,26,39925,87379,39925,Regular,Female,Yes,No,No,8.85,54,461,461,good,good
labank (021742),Lagos,Alimosho 1,Shasha egbeda,137,148,137,653450,922010,653450,Regular,Male,Yes,No,No,709.41,120,256,256,good,good
SABIMEN2284 (015780),Niger,Suleja,Suleja,436,448,436,6558380,6315392,6315392,Regular,Female,Yes,No,No,139832.3225,233,468,468,good,good
Drockpos (015752),Lagos,Alimosho 1,Iyana Ipaja,92,118,92,260800,644473,260800,Regular,Female,Yes,No,No,48502.99,14,469,469,good,good
Maxjames (003004),Lagos,Alimosho 2,Ikotun,0,48,0,0,122369,0,Regular,Male,Yes,No,No,-5399.605,193,1348,1348,bad,bad
Sabimen3820 (015134),Lagos,Lagos Island,Victoria Island,99,94,94,289120,314440,289120,Regular,Male,Yes,No,No,1469.025,177,437,437,good,good
sabimen748 (012243),Lagos,Kosofe,Ketu,138,181,138,522510,1127376,522510,Regular,Male,Yes,No,No,19282.67,3,537,537,good,bad
Erusaertpos (022480),Ogun,Ifo,0,272,232,232,1988640,1525779,1525779,Regular,Female,Yes,No,No,1161.7225,44095,249,249,good,good
SABIMEN1206 (010557),Lagos,Surulere,Lawanson,174,189,174,1016660,1073675,1016660,Regular,Male,Yes,No,No,9612.31,5,535,535,good,bad
Kcgoldpos (019894),Federal Capital Territory,Kubwa,Bwari,55,49,49,172849,199644,172849,Regular,Male,Yes,No,No,18.8546,314,314,314,good,good
UNCOMMONPOS (012627),Lagos,IKorodu,Ijede,432,368,368,2465586,2222850,2222850,Regular,Male,Yes,No,No,12195.95846,36,497,497,good,good
sabimen3219 (015867),Plateau,Jos South,0,158,149,149,448700,492509,448700,Regular,Male,Yes,No,No,3886.164,2,459,459,good,bad
Sabimen202 (010514),Lagos,Apapa,Apapa,188,204,188,436605,450943,436605,Regular,Male,Yes,No,No,19960.65,42,544,544,good,good
SABIMEN2335 (014545),Niger,Suleja,Suleja,300,242,242,666000,547864,547864,Regular,Male,Yes,No,No,48100.865,4,468,468,good,bad
SABIMEN1101 (011235),Lagos,Sango,Ijoko,0,11,0,0,57386,0,Regular,Male,Yes,No,No,1144.27502,503,536,536,bad,bad
Godconcern (012776),Lagos,Oshodi-Main,Mafoluku,117,112,112,214910,223450,214910,Regular,Female,Yes,No,No,33152.49,3,510,510,good,bad
Sabimen2512 (015665),Niger,Tafa,Dogon Kurmi,21,47,21,68900,123194,68900,Regular,Male,Yes,No,No,117.875,57,466,466,good,good
Funmiventures (020515),Lagos,Lagos Island,Obalende,92,103,92,245430,244408,244408,Regular,Female,Yes,No,No,-139.48,179,280,280,bad,bad
Gokaro (002301),Lagos,Ikeja,Adeniyi Jones,26,22,22,145705,132354,132354,Regular,Male,Yes,No,No,527.234,4,1428,1428,good,bad
4ORCEMAN (006705),Lagos,Apapa,Apapa,6,17,6,82550,111072,82550,Regular,Male,Yes,No,No,-3118.75679,122,836,836,bad,bad
femi2121 (021917),Lagos,Alimosho 1,Egbeda,183,271,183,737680,1424405,737680,Regular,Male,Yes,No,No,53263.645,3,255,255,good,bad
KennyTruthemene11 (005681),Enugu,Enugu East,Emene,175,162,162,254480,233069,233069,Regular,Male,Yes,No,No,16756.84538,1,1081,1081,good,bad
Abuamotullahpos (012612),Lagos,Ojo,Okokomaiko,145,157,145,1907610,1883481,1883481,Regular,Male,Yes,No,No,-132.30086,7,495,495,bad,bad
Kayblinkz2 (009809),Cross River,Obudu,0,218,208,208,540110,526664,526664,Regular,Male,Yes,No,No,23780.51143,1,615,615,good,bad
DUMANETHPOS (012681),Lagos,Amuwo Odofin,Okota Amuwo,130,87,87,411450,549823,411450,Regular,Female,Yes,No,No,24579.68929,3,493,493,good,bad
Mojray43 (004541),Lagos,Ibeju-Lekki,Lekki,37,44,37,292420,329096,292420,Regular,Male,Yes,No,No,119520,14,1237,1237,good,good
sabimen1748 (014329),Lagos,Alimosho 1,Abule Egba,1,134,1,1120,830322,1120,Regular,Female,Yes,No,No,339.8875,30,473,473,bad,bad
SABIMEN1678 (013880),Lagos,Mushin-Main,Mushin,135,158,135,487110,764592,487110,Regular,Female,Yes,No,No,4239.7325,9,476,476,good,good
Rosedivinepos (009043),Lagos,Amuwo Odofin,Satellite town,42,44,42,265100,252101,252101,Regular,Female,Yes,No,No,2729.03214,8,691,691,good,good
SABIMEN1684 (013916),Lagos,Mushin-Main,Mushin,127,153,127,366300,347036,347036,Regular,Male,Yes,No,No,24455.255,13,476,476,good,good
vicdam (010026),Lagos,Alimosho 1,Agbado egbe,185,156,156,286110,269404,269404,Regular,Male,Yes,No,No,23215.695,3,594,594,good,bad
jirhue (021825),Lagos,Oshodi-Main,Ajao estate,39,43,39,182800,248337,182800,Regular,Female,Yes,No,No,341.6,5,256,256,good,bad
sabimen3146 (015936),Oyo,Ogbomosho,Oke Elerin Road,120,113,113,309950,358895,309950,Regular,Male,Yes,No,No,35494.745,12,459,459,good,good
Sabimen895 (011380),Lagos,Alimosho 2,Ikotun,2,51,2,15200,265684,15200,Regular,Male,Yes,No,No,598.5375,2,536,536,bad,bad
Destinyapp (007988),Kogi,Okene,Okene,98,69,69,182098,124737,124737,Regular,Male,Yes,No,No,34.366,137,735,735,good,good
sabimen2179 (014007),Niger,Suleja,Yagun,261,240,240,622178,564473,564473,Regular,Male,Yes,No,No,0.595,9,468,468,good,good
DANHALIMAAPP (020843),Yobe,Damaturu,0,2,68,2,2000,1140503,2000,Regular,Male,Yes,No,No,7.075,87,278,278,bad,bad
marmiolive2 (007837),Lagos,Alimosho 1,Ipaja,47,56,47,151070,149406,149406,Regular,Male,Yes,No,No,107647.39,9,740,740,good,good
sabimen3273 (015973),Kwara,Ilorin,Post Office,27,29,27,77910,98925,77910,Regular,Male,Yes,No,No,0.2465,4,459,459,good,bad
sabimen787 (012256),Lagos,Oshodi-Main,Jakande,418,398,398,1112475,1286885,1112475,Regular,Male,Yes,No,No,12251.27,1,537,537,good,bad
JJtechpos (012548),Lagos,Badagry,Badagry,0,10,0,0,38173,0,Regular,Female,Yes,No,No,23617.85714,237,530,530,bad,bad
SABIMEN1576 (013882),Lagos,Yaba-Main,Yaba,92,266,92,425880,2258705,425880,Regular,Male,Yes,No,No,11632.23,3,476,476,good,bad
farmbizpos (009663),Lagos,Alimosho 1,Agbado egbe,96,139,96,749347,912759,749347,Regular,Male,Yes,No,No,15393.35661,238,614,614,good,good
akwayo (005369),Kano,Kano Municipal,Kano City,535,581,535,356470,404826,356470,Regular,Female,Yes,No,No,2323.69,1,1144,1144,good,bad
Alasapos (016343),Delta,Patani,Aven,46,72,46,202540,879934,202540,Regular,Female,Yes,No,No,59.75,44095,460,460,good,good
Wale4sure (000952),Lagos,Festac2,22 Road Stretch (2nd Gate),149,139,139,392395,338724,338724,Regular,Male,Yes,No,No,-1559.0775,58,1659,1659,bad,bad
sabimen2032 (014117),Lagos,Ojo,Alaba Int,117,112,112,289900,281034,281034,Regular,Male,Yes,No,No,87776.2075,1,469,469,good,bad
SABIMEN1378 (011465),Lagos,Ibeju-Lekki,Ajah,59,54,54,179020,165110,165110,Regular,Male,Yes,No,No,13386.5975,2,532,532,good,bad
sabimen2215 (014032),Federal Capital Territory,Kubwa,Bwari,168,182,168,512675,549129,512675,Regular,Female,Yes,No,No,21508.715,32,468,468,good,good
RAPHVALApp (018798),Anambra,Idemili North,Awada,71,78,71,118600,135294,118600,Regular,Female,Yes,No,No,575,4,346,346,good,bad
GoldenB (000637),Lagos,Sango,Ifo,0,13,0,0,36327,0,Regular,Female,Yes,No,No,-6556.56714,238,1735,1735,bad,bad
Odasng2pos (012668),Federal Capital Territory,Utako/Jabi,Utako,97,111,97,684830,773775,684830,Regular,Male,Yes,No,No,-743.695,75,523,523,bad,bad
Godstrengthpos (017933),Lagos,Ojo,Iba,0,27,0,0,134306,0,Regular,Female,Yes,No,No,-2413.2,44095,382,382,bad,bad
cuchel (005649),Cross River,Calabar Municipality,0,181,133,133,270250,231944,231944,Regular,Female,Yes,No,No,-333.711,30,1084,1084,bad,bad
howlite (023042),Lagos,Alimosho 1,Iyana Ipaja,44,82,44,253750,493230,253750,Regular,Male,Yes,No,No,512.55,76,242,242,good,good
sabimen1925 (014392),Lagos,Surulere,Aguda,144,139,139,592810,547563,547563,Regular,Male,Yes,No,No,7356.215,10,472,472,good,good
sabimen3008 (015280),Rivers,Port Harcourt,Town,69,62,62,231850,204324,204324,Regular,Female,Yes,No,No,2330.57,221,461,461,good,good
Taymsonpos (020311),Lagos,IKorodu,Agric,63,64,63,345870,352143,345870,Regular,Male,Yes,No,No,24730.204,4,293,293,good,bad
SABIMEN421 (010659),Lagos,Apapa,Ajeromi,897,753,753,5736880,5235340,5235340,Regular,Male,Yes,No,No,38300.015,150,542,542,good,good
Tennycomapp2 (010070),Lagos,Alimosho 2,Idimu Egbe,87,75,75,102650,117541,102650,Regular,Male,Yes,No,No,439.71,87,591,591,good,good
basiribc (009191),Lagos,Apapa,Ijora,51,47,47,204110,199664,199664,Regular,Female,Yes,No,No,36847.1,4,682,682,good,bad
Sabimen3324 (016133),Osun,Osogbo,0,115,110,110,202500,202100,202100,Regular,Female,Yes,No,No,10726.744,2,459,459,good,bad
SABIMEN21 (007320),Lagos,Ibeju-Lekki,Ajah,93,86,86,219510,180092,180092,Regular,Male,Yes,No,No,1679.235,26,759,759,good,good
SABIMEN2296 (015778),Niger,Suleja,Suleja,81,113,81,201625,216256,201625,Regular,Female,Yes,No,No,55.101,3,468,468,good,bad
SABIMEN2706 (014866),Oyo,Oyo East,Ife Odan Road,42,46,42,191854,157825,157825,Regular,Male,Yes,No,No,1019.887,13,465,465,good,good
sabimen2057 (013771),Lagos,Kosofe,Ketu,0,56,0,0,110343,0,Regular,Male,Yes,No,No,10039.7,26,469,469,bad,bad
Nnannapos (013474),Enugu,Enugu North,New Market,88,78,78,578810,588417,578810,Regular,Male,Yes,No,No,1333.822,193,496,496,good,good
OMEGASUPA (004049),Rivers,Eleme,Obolo,0,15,0,0,61107,0,Regular,Male,Yes,No,No,-2762.5,321,889,1274,bad,bad
SABIMEN1635 (014374),Lagos,Mushin-Main,Mushin,529,445,445,2055250,1786052,1786052,Regular,Male,Yes,No,No,689.685,353,476,476,good,good
djscope3pos (013539),Lagos,IKorodu,Agric,42,55,42,216440,453107,216440,Regular,Male,Yes,No,No,3755.67932,44095,495,495,good,good
sabimen3773 (016429),Lagos,Ajegunle,Boundary,165,154,154,469400,443787,443787,Regular,Male,Yes,No,No,19900.625,28,438,438,good,good
Mokayce (002305),Rivers,Port Harcourt,Borokiri,139,142,139,281180,291974,281180,Regular,Male,Yes,No,No,-61.13907,25,1428,1428,bad,bad
ColumbusApp (017701),Lagos,Alimosho 1,Ipaja,171,170,170,1033430,2261187,1033430,Regular,Female,Yes,No,No,63097.165,1,389,389,good,bad
ladehbakjanapp (016956),Lagos,Alimosho 1,Ayobo,110,138,110,846370,883743,846370,Regular,Male,Yes,No,No,826.64,1,411,411,good,bad
Suncerinza (022199),Delta,Ughelli north,Ughelli,65,73,65,304111,361889,304111,Regular,Male,Yes,No,No,0.738,2,252,252,good,bad
Nonye (002953),Lagos,Amuwo Odofin,Mile 2,40,78,40,205100,276835,205100,Regular,Male,Yes,No,No,35921.23986,6,1351,1351,good,bad
Sabimen3318 (016128),Osun,Osogbo,0,179,186,179,282120,328860,282120,Regular,Male,Yes,No,No,7110.215,2,459,459,good,bad
Atobakngpos (020178),Lagos,Ifako Ijaiye,Iju,11,13,11,37990,76927,37990,Regular,Male,Yes,No,No,3897.665,44095,299,299,bad,bad
